5000 10000
4047 648 333163
1078 3095 658728
346 1269 23259
4005 793 196190
2462 424 648267
505 3212 51992
3468 4558 681640
4381 246 659147
3520 2886 416986
1565 1933 353635
3547 4406 404550
4904 2982 916628
1739 4615 72741
2426 575 934585
4699 3389 720447
4648 955 865757
3456 108 153417
3126 3389 999824
234 1082 511173
3968 1591 982612
4099 3482 645795
4356 2215 886038
4110 362 152626
747 1907 22513
4567 1519 142828
25 1804 251642
1861 2665 474160
2064 654 380303
1807 201 836329
4037 2112 312863
3724 234 671551
4099 3953 718130
4103 1333 417480
3020 3231 590822
4622 2742 524957
2291 3278 322718
4977 232 59150
3935 3976 155551
3277 1430 989064
1268 4297 159961
435 846 345397
4467 1229 15636
3623 2870 107048
1737 1583 124741
1823 1709 54811
2229 2743 298682
1799 3936 86353
3976 4554 262501
404 1981 550621
2975 1687 102205
2548 4824 890476
729 2639 398578
4216 4783 640266
3682 2767 369006
2783 3234 123773
1340 142 881570
1135 839 816891
2522 2448 946964
4525 1878 554183
1743 999 856125
4798 1103 616839
2760 1989 839573
4412 693 332097
3469 2860 172809
3241 1909 498719
294 2720 552034
889 4643 129558
4220 4096 759843
881 787 654630
3503 72 59641
3349 1081 189240
2806 172 474524
3349 1099 446477
2071 1735 53702
4335 3952 352486
3564 1271 976573
3443 3196 943111
4053 3188 160696
2208 4566 957811
1983 1985 990639
1181 94 16763
437 826 323421
3280 3884 300662
1501 2032 889027
2187 4719 149384
1418 2312 812664
2775 2207 417554
3440 1702 474963
2461 682 917596
2876 1182 262710
3315 3411 236521
3386 3930 497998
603 103 362808
2768 4899 609544
738 2252 495658
2101 401 900505
3691 4637 934923
3863 208 366674
4588 4096 771579
926 4433 8793
4094 3772 170544
2591 3192 790794
1823 1895 282445
514 3992 583638
3552 2071 264078
455 3975 242852
1744 1987 510980
3664 1286 399298
2915 1710 196180
4575 2772 169393
1154 3434 283207
4413 4589 698848
1895 1120 193750
3037 277 661072
3733 2385 636914
3222 4218 156487
2736 1127 393231
3762 2654 384708
1917 1307 540638
2359 42 606286
3988 1582 805564
3387 1773 334700
1725 4160 700561
3346 2554 994635
3239 2789 212122
708 1236 826265
4520 2073 786448
564 4772 126140
4045 2109 61892
735 1772 335939
1562 3832 75334
4681 2515 192783
4172 4071 341172
476 4699 468508
2728 2389 781271
3311 2874 806597
4787 4301 678556
3905 2851 906253
538 1212 715534
2912 214 799546
4451 4172 215849
2289 2438 812039
2058 2931 399591
968 1126 189320
1656 3577 386908
3481 489 164024
3803 4327 65794
2477 2667 604690
3644 2503 727373
3021 2204 295399
3480 3767 577197
4390 505 148260
4905 4114 305862
1994 732 657699
1951 3512 874837
516 3705 866752
1681 3918 63233
4454 1397 626782
1473 568 902224
246 1810 475069
1788 4256 497734
2314 1319 819487
1872 4671 382098
568 3691 355601
1373 1798 497003
4968 4412 568412
3852 4280 359411
1618 4286 743734
1193 827 421938
1592 3644 728749
1035 4143 599073
3511 1843 302704
2118 4921 820737
4101 4022 92069
980 2779 797487
3539 487 358133
820 1458 550921
1149 3962 935939
4711 978 217730
2727 4977 907758
226 4809 671806
1766 3063 390286
4476 4813 971548
2313 2864 398434
2768 2827 936758
1469 454 334152
3886 4081 328398
2860 891 616891
116 4324 314857
4192 4298 444033
210 4453 312647
838 4790 17512
195 3635 976781
1932 2686 798611
3865 3530 402172
3672 85 249898
175 3167 71316
3497 4521 791477
223 668 503355
1024 2383 598643
1975 2114 929483
2921 4783 556656
502 2760 196249
938 1369 695409
4423 4675 290905
3857 1687 313143
3596 1591 707452
2532 1973 906546
622 1009 173849
423 1965 709532
2981 3511 589901
2184 4062 124327
1318 715 399197
2954 3779 380325
1469 4289 872965
1604 914 762963
2644 3309 286920
1647 4233 281221
277 1334 402907
301 4780 956166
740 3516 428495
1232 1031 694126
2904 4243 570064
3674 3412 488138
3783 2434 816916
4480 2075 150667
3754 4444 321312
1181 4492 929895
3812 1468 119336
4554 363 654292
4453 2237 498701
3235 1049 560010
849 1785 790948
3032 2449 903171
296 228 234641
4660 1260 990089
4309 3676 782956
2808 822 919979
6 3963 298472
1582 2643 80843
155 554 538055
65 1532 747759
4855 3081 398720
179 3887 40715
2364 1472 260646
2492 1236 94615
4222 3881 17350
2371 4931 533891
2594 459 428088
3686 3577 692551
4088 4315 224918
252 2760 445422
1389 490 550638
3034 3551 576530
4317 2319 509127
3789 953 656302
2708 272 669465
1379 2275 581492
3062 297 931097
329 1670 85972
3570 1219 735269
3696 4729 357797
1345 1999 771716
3073 3425 993287
2226 2449 918137
4473 1908 836368
3116 1574 14438
1066 4463 678020
3145 1674 723894
3966 3230 727786
1461 1410 828880
1445 2053 77452
4495 1281 680209
2720 3613 303144
3084 1389 68982
349 3561 90725
2873 1043 272981
1112 2845 107985
3925 488 93242
3050 3224 899711
4158 841 140417
924 3512 462650
2900 1173 50204
1604 4930 862782
4915 50 308227
3656 4031 424665
1718 805 266376
3763 1128 170528
2942 4210 639383
1505 2107 467064
233 4654 74116
1307 1950 568637
300 1342 272518
4005 1541 865618
3465 1373 262588
3885 970 896628
2719 2297 712711
4976 1334 631876
3431 1658 232884
959 1376 190702
3680 4120 56372
4328 3964 667683
1375 322 164561
565 1200 535042
525 3376 14193
3768 250 442483
4653 2038 101516
1513 4606 920960
3711 658 21992
1018 3979 223614
1997 2985 235901
1333 3381 218449
4419 4052 848929
350 2291 603147
28 3359 34761
2506 1056 548868
1595 4032 970121
1424 2362 865070
4103 4609 639599
4272 421 971884
2160 1563 524489
4750 4406 287749
520 4294 949564
4773 4951 7214
278 4755 527176
703 1707 130058
4487 4404 604881
3594 4552 879263
2492 2202 884872
3568 4234 840843
2204 4397 750038
2912 1857 311378
4567 2082 429985
2329 1212 567871
1231 101 962246
2514 607 208248
2562 414 71333
3125 2913 298876
1968 1560 512094
4428 2011 852905
2012 2903 141656
2655 834 683339
769 545 391275
4688 1668 909575
3894 56 176402
1616 4615 105316
1333 3413 592568
4305 428 511114
4096 1145 814524
1189 1621 396157
4596 3743 397977
600 1477 181599
999 335 170284
2486 2072 168005
4086 1981 315422
2859 215 232370
4109 1453 979430
4682 1065 76727
1345 2904 369376
526 4128 756947
2340 883 919481
4678 1660 187986
735 1697 233897
2001 63 49597
3961 1619 276666
1413 2417 999853
1312 3328 220107
648 735 826491
4601 437 616103
330 1621 656431
665 3815 779656
289 3044 88619
507 4360 562147
842 2589 265699
3806 3396 422497
4872 4019 190189
587 1352 18066
3005 607 859890
2522 2771 343557
1037 1211 87517
4125 1431 862425
2331 2092 840947
1089 1338 735776
1399 3843 41220
4614 979 231229
1884 1173 328806
632 2103 681862
3842 3336 277014
2387 3535 227165
3016 3185 736838
2265 1493 917891
4323 446 218909
3860 1518 643989
574 2905 884931
2733 4340 361289
4525 4863 465915
4705 3633 799418
1945 1568 480534
4575 3407 715452
451 1659 101717
1680 3409 101172
2173 4403 158520
2754 4183 816741
237 1196 845908
3936 3312 464644
3327 1705 726131
2280 1085 20858
3791 2054 848269
3517 297 552859
363 2366 957730
128 326 681038
2916 1881 173257
2584 3687 784283
4191 954 703036
722 2295 840354
4633 3764 425127
18 1843 694774
917 762 776338
2232 3305 623248
2718 4023 213734
1990 1847 928424
3815 2520 621794
900 4102 66776
2719 4932 177288
2232 3711 862042
3556 691 708235
625 4994 283665
4872 1179 188568
2645 4527 230685
3823 3253 968297
1560 3285 202166
1391 479 339476
4489 2791 726856
1432 4309 266947
2890 4837 834770
2835 1545 557230
2591 1402 939512
2354 3513 477735
1267 481 424721
250 3672 958325
3769 1662 194730
2972 4515 596830
1754 2081 282157
4824 258 268378
1396 1686 590975
348 2420 396547
4771 3442 21946
4418 2931 823829
479 410 164692
4917 4873 805303
3109 3710 310295
322 193 956142
64 904 288899
1154 113 245431
3238 248 844026
973 1072 475488
3723 4499 154307
2427 4728 9047
1048 4933 779486
3775 3272 167712
4225 993 716640
3798 3291 486032
2224 1255 651859
4704 2464 264323
2288 2402 774495
1271 1761 132092
2938 1564 878698
3088 4886 259718
3061 372 834938
2168 298 745002
1819 332 910212
341 165 117744
4066 2108 193083
1581 423 821139
1756 2784 303231
3405 3282 892123
1550 2534 661504
4926 4478 379317
3727 3103 23172
174 3453 866905
1232 3637 37971
2872 3408 287551
2201 3954 62712
4298 2504 445817
4183 2862 254507
2182 1001 953971
4531 2895 827141
4993 2206 507953
4586 4414 777675
1961 2051 69201
2149 1547 122443
3302 4482 637982
4511 1555 889342
1183 191 685303
3681 1881 450993
1098 993 448559
1370 4304 380725
216 2153 24655
4400 1265 223819
2135 1398 885416
4220 3681 341638
4660 208 860008
4716 1914 508078
3180 2490 43787
1406 1910 493386
137 4735 865710
1195 544 550815
3624 3565 851033
2816 477 973210
2746 419 127357
1028 289 308572
3842 3949 382143
906 1503 473711
2985 4249 226264
1728 1330 671054
907 881 417621
1014 4108 183579
4309 3236 354559
2375 4199 287189
1590 4465 649799
617 707 215344
1512 2616 741799
3844 3192 54518
2832 2964 482143
1805 2641 966708
168 2365 21131
1352 3063 158059
2089 167 504355
3987 1146 363654
1957 2979 547560
2655 998 376526
2541 1327 193568
1242 4973 768025
3658 119 580622
3514 4479 655851
3532 2170 240336
2679 3345 894099
2782 2112 464473
514 1124 821290
4044 615 873696
4272 4309 152394
4610 2640 627016
84 2765 17503
760 2527 59731
2369 4941 993955
270 2506 677228
4910 3344 190006
33 4304 903436
1690 1432 158736
1741 2781 920713
2382 2436 880902
4714 2893 467055
3387 1982 276204
4461 4795 634435
1650 1182 89337
2586 652 606831
373 2767 605757
2691 225 286136
72 1061 53213
2202 1749 682987
663 3878 810062
1692 2970 311347
940 1 551698
2093 4779 766649
3218 4668 18735
471 3330 518471
2233 3142 945368
2479 418 57997
2001 104 816594
2382 3484 568130
141 2520 216188
1046 1668 746428
960 1588 760140
1036 1225 28545
4556 4455 93287
4557 3872 456418
232 3866 203565
2585 1934 968361
2504 4027 500876
2791 3808 896042
2861 941 811077
2625 4497 941629
3243 3977 83572
3408 1351 416628
4157 4988 328764
1803 2472 347987
4819 491 305904
4079 501 784793
4365 4081 865429
3447 798 853417
1719 4766 378787
3447 720 466387
3377 936 779912
3103 3866 618652
2915 4070 106865
4420 3415 33984
24 2450 812674
3606 3510 654336
324 93 354639
930 3365 791246
2921 3904 953155
4326 3665 639124
3281 976 109681
410 839 103033
4598 2396 849498
1652 3729 464533
2873 4835 363154
3941 635 735543
1428 1067 978504
3583 2946 57402
4722 4236 410924
2466 4703 169661
2693 2247 398518
542 3587 99335
2220 227 686332
2100 3434 163363
682 1465 731549
3736 1635 905217
3993 1226 152504
20 4794 123691
4720 2835 889977
1805 3168 213386
3336 1992 306841
3373 2330 49448
782 3603 190130
2818 688 383247
494 3447 67464
950 439 391809
2800 179 604432
4211 1710 897893
2817 2014 575086
634 1327 136221
443 517 77025
4026 2282 356730
3106 1465 575460
4186 590 780898
1773 3427 855986
4260 1229 29743
1805 3893 794427
668 701 845150
2441 940 191407
451 1040 900426
1559 665 423793
1565 4288 358735
780 2826 683872
2967 841 579025
2059 14 615993
2082 4755 517639
1296 800 718153
2814 865 267643
3578 2463 61101
2356 1609 805167
90 329 505701
2627 1028 833800
2182 3245 728411
3096 4658 69364
2401 2860 881094
1459 1390 188985
2035 378 92530
2390 1127 350920
1094 4755 663445
819 2207 669473
442 4478 823120
857 1885 783688
4283 4601 83370
1565 1067 801122
3898 4070 498481
2645 1915 961988
4834 3507 661328
522 2865 278652
237 2440 381374
4415 921 170340
1370 4336 167199
4635 1822 442183
2691 604 177591
853 4734 644334
1120 3994 714238
1776 1037 781450
2654 4110 721159
3558 4477 408300
1472 1390 60541
2682 4837 944108
4162 4567 588267
4892 4628 614002
3999 2503 832595
476 1462 601167
3175 3873 89926
4845 1305 520070
935 1046 960514
268 3674 34244
3894 2330 466060
3312 1123 748065
4310 3702 921932
2384 1133 820513
3589 2424 230737
693 770 274522
1532 1131 323096
3301 3249 760118
2416 779 662454
2573 2795 651243
1623 1330 539567
4129 2464 531559
2933 2993 77495
4896 2387 819924
4484 4483 865301
337 4550 35484
4707 3644 906908
2333 2823 182435
4412 4227 949197
725 683 757788
3999 3982 880898
3068 4156 25182
3489 918 768757
1207 4147 687615
2764 3453 981069
3111 1656 639424
2236 409 162177
292 842 716170
4061 1938 600373
4078 4605 750183
1124 3661 584736
1226 2119 732637
705 1363 594226
1793 807 566679
3597 3000 13297
1168 2451 634512
3532 2201 236813
4728 90 990368
147 2373 683945
4124 2278 769636
4805 1829 489485
1343 4963 136098
1961 4499 727371
470 1903 665693
3144 3988 809410
2932 3400 354618
4771 2666 504459
3426 4166 547829
738 1834 154234
434 2413 754301
4892 2873 61384
4563 1089 730227
3483 4027 177798
4464 2189 996969
1805 4933 405356
539 1671 832930
2196 4157 720432
3034 1354 282852
2427 1907 268459
2952 1955 235878
286 4730 100100
4640 4786 162405
2660 3279 246365
1801 2345 999217
4323 1338 44607
3509 4191 239607
2630 1693 13889
4855 374 42779
1548 3878 524704
416 3418 537636
1715 1595 284567
863 1440 374935
1191 1919 304530
3278 4333 750711
1213 1313 425761
3379 3842 165833
628 1581 216060
1184 323 182242
3218 513 397822
1233 3201 348030
2020 1788 21678
1328 3085 380743
3261 672 863851
1469 4944 80316
422 1553 811824
4982 3267 607834
185 1230 985312
4680 4837 238784
2431 2828 424047
3760 2852 52268
4386 3018 181324
2283 1894 4558
4476 742 169551
1728 2467 610891
1546 4406 884853
4533 1572 709290
4301 1802 993168
3055 775 77517
2765 3745 891575
679 3306 240813
1657 4577 542311
3551 1046 554100
2345 443 112095
2161 4554 223675
538 2053 88483
4742 166 490484
4654 226 491436
2975 2956 725336
260 191 305984
4774 1673 714585
742 971 550762
2756 3108 463715
4430 4301 639379
3561 979 1868
3193 2020 229939
2535 1359 226786
1148 4428 562202
3386 2499 761980
896 110 621452
3171 3081 838149
1080 3836 792168
3102 4539 434082
748 2384 745888
1841 4823 649519
1028 2986 481394
4776 4828 271141
379 998 503396
849 668 326389
1101 1071 827713
796 2746 728357
4918 320 657680
2982 4506 35827
3543 2494 986685
3819 2105 621404
1201 734 690941
1384 2559 732603
4528 3827 984986
333 722 545766
2576 4737 879656
1387 3842 557622
2131 3744 872617
3220 501 903850
955 612 246923
1101 1697 266000
4779 2793 141510
3308 1619 473561
2190 3633 656284
3221 344 938451
4713 2424 571874
96 1016 921564
2408 3272 591851
4048 1624 244060
1699 1259 945652
15 3299 780563
677 3378 226020
2862 1857 547316
4778 338 778121
1686 1458 469504
3146 4924 223270
3770 3950 953791
1655 1805 93677
2751 1086 697098
813 2014 258439
3175 4948 660312
3698 1123 871101
1150 1727 469350
4607 3586 662381
2886 4438 651461
1192 286 230483
620 4405 202201
3487 2313 907538
2820 3768 741710
3471 4834 893077
1964 11 24417
1412 2386 684445
4577 2421 128816
4384 2389 957091
4443 65 949562
2359 2251 883744
2388 3048 151032
3609 3800 614563
3036 1118 628996
3346 3585 218171
4259 3668 61619
797 1421 643378
1600 3047 111242
1569 2148 79379
495 4881 920394
4898 1841 772913
3908 224 821671
172 2075 648247
1604 2356 653298
1958 4553 530993
1421 4845 929225
4606 2047 686168
1782 1817 734985
2558 506 622085
3910 2492 802464
3462 2139 526187
4296 2528 200516
4427 169 125420
3834 3754 594840
1159 1992 301606
1103 337 859981
3930 2706 103199
1980 1120 88906
166 102 633116
1380 3413 680817
1856 1052 993925
4594 3457 423675
4592 4967 645117
3175 907 800831
920 3953 684409
2634 4794 166146
1717 1197 682294
1247 1627 222837
4961 4268 120828
4069 3725 544341
173 603 907434
3503 715 773276
1528 1076 61509
3408 4179 298086
1229 1600 313619
4307 604 289468
3662 3254 682217
4777 2316 970863
3342 3871 150080
3840 3808 246833
3102 4112 693488
190 381 516437
3395 1476 580467
938 2314 105316
2743 1024 272063
3016 2631 861617
309 3705 385886
4135 3466 604574
1754 507 137828
3974 951 836594
1205 2022 756163
1442 2700 679102
4111 1362 686409
3446 1295 912295
2269 4663 921711
1995 1076 351636
4913 3767 617280
2670 4071 379681
379 927 621209
1458 824 962254
1692 4998 160879
4225 4048 609470
891 3985 60644
3194 4626 475543
4263 2263 859232
1708 2670 794569
1216 2503 445301
2594 1081 739207
1340 4657 813744
4712 1448 643589
4672 147 761146
4888 3939 127485
1800 4089 275931
521 422 824273
2817 4450 219777
4912 3369 688721
1320 2880 624552
4957 23 117870
2884 344 766841
2849 510 225069
3313 4187 814654
3368 4221 192612
4916 766 822160
246 4790 730244
250 2868 518219
3643 3646 862475
1058 2136 875761
1666 3488 632802
1826 846 485588
3389 4618 865326
2377 3835 692896
4598 4519 397162
1705 3974 269414
1801 4307 92242
2025 1907 287805
2581 2435 315174
4045 2782 10656
942 4709 917277
3346 939 738139
4591 2943 561409
227 508 604515
1893 2555 877658
3408 853 14978
1394 4038 977496
3718 3616 974240
461 2914 1249
69 2528 816976
1725 168 860151
1800 4963 805573
2706 3677 411996
279 201 60720
991 4763 330343
1764 2428 401547
820 1909 750445
2312 25 581565
1029 4247 280301
3653 3444 245350
1372 4796 716659
3652 4142 259007
3482 4186 821526
2845 578 573842
1809 3190 998132
642 886 371399
4823 3301 199541
3053 137 697598
2176 228 440029
1082 1806 204082
1651 1425 600566
421 3245 595489
97 3437 920045
3671 416 411583
892 2546 515604
3159 2437 49694
3725 690 478136
4394 3050 435925
1235 3239 227439
3222 2923 514845
2293 1925 974160
3875 2419 545118
2934 4602 194818
4470 4336 398767
4054 3190 371335
4812 1736 52353
2663 4394 662520
2183 4043 158245
1232 1875 790615
3332 2604 696904
2187 1451 1190
1946 2456 724855
4014 1580 702955
2077 3662 13462
1246 4343 56411
3472 1430 578644
1191 903 936127
787 4436 745610
2683 2964 905307
4547 3113 503571
2786 925 19754
3026 852 188734
984 793 151155
1802 1407 905213
968 673 757957
4466 3635 448094
2038 4078 89710
2581 15 648188
4123 4897 16748
3802 3014 502831
3070 4888 477614
1538 1172 101036
789 1660 431274
310 2310 717669
2687 1069 910174
987 1624 827909
1699 215 959994
1174 2777 59879
3917 1122 192395
2174 1532 796138
4239 2300 420784
4445 2962 723115
4420 3719 766171
4247 3868 378522
172 4457 749374
763 3794 897393
4115 4203 424158
1133 4135 840376
2163 3058 691995
3272 3296 579941
4388 4058 831624
4647 4764 911745
2620 219 584007
3413 3403 715997
1072 3735 16584
3801 265 499601
3089 957 776946
3832 2512 945397
4400 1528 876794
393 1383 870554
1396 2124 303810
3508 2854 637899
1847 1125 405376
727 2016 667371
1201 1986 809276
2827 3478 585122
1756 4605 834231
3565 3673 793569
4789 290 861506
4034 2456 51039
1979 669 186957
3141 4802 696053
884 4236 88515
1271 2032 494371
3492 3885 636152
4920 4394 811306
954 2456 139962
2177 1167 205388
3836 3242 414026
585 513 511897
1650 3154 341653
3124 3606 313300
1439 2210 82472
878 374 776931
1218 2458 491070
2831 1085 501196
1336 1111 970017
4615 3359 633978
4047 2694 264894
2517 1858 200510
1720 4499 928227
2869 3663 779924
3476 4374 404102
4837 1540 157093
370 875 720273
1945 3947 781941
900 1299 448080
398 3270 649938
4400 2004 401913
112 2885 812896
937 4628 973419
1842 4057 96228
967 2544 500265
143 2818 76835
1253 3869 731805
374 2890 822700
150 2083 533225
2440 1480 32004
4454 3021 843945
4163 2034 546340
1605 1071 327180
2160 1719 497299
4942 92 882616
4164 707 385363
816 2415 64167
3483 2793 862421
3183 2638 165980
1917 1944 563655
1195 2412 229995
4558 2781 733651
2149 3784 246328
1420 3005 456694
1408 2122 955863
3831 277 613189
2070 4165 683780
1735 3382 571065
4292 4558 654094
1868 1328 964134
1364 4084 459124
3179 4811 437871
4201 1527 126928
407 2131 251486
411 281 43073
156 472 507699
2796 4726 450892
122 4592 954638
293 253 400393
2965 1403 21314
3647 1332 728794
4115 1033 279619
657 3437 5016
3501 173 264564
2026 4558 186511
3742 3431 974851
852 2803 483984
4300 2227 919389
4451 4112 899825
4074 1771 641141
2608 4275 348205
97 2350 752009
1781 3715 505490
2395 1686 820856
3537 3286 916585
3082 551 800409
965 3 59649
3827 3989 802634
1462 2276 950279
2912 1726 978437
872 1402 694947
4228 4693 715675
3396 3920 794228
3461 4969 853046
1777 2883 421800
1894 268 105526
3510 3501 866256
2386 3401 380935
2415 3205 988130
2888 2976 438547
4880 2744 482131
4665 3679 125281
1603 2140 84344
630 1618 582789
3082 4578 136338
3867 2486 402489
4519 1229 437824
55 3027 689987
2841 2659 98793
863 3521 765040
4395 3726 92146
1760 3527 525213
1528 3741 514940
2209 141 604558
1466 103 720449
538 456 923461
1510 2292 319583
739 1873 819299
643 666 722509
2564 3329 637695
825 4750 139612
2867 514 842306
754 2938 143675
1933 3068 385390
2288 2132 93338
2512 2155 858595
1884 2427 187757
3265 2550 530757
4710 1356 757859
4658 3272 207708
3234 2238 699478
1303 1982 947727
18 257 400135
4749 3491 100421
358 3343 172205
1444 829 277732
2314 1520 992037
2722 1799 241070
4001 1046 347722
3919 3432 767089
4575 1425 951632
2426 2570 479494
4974 3142 52438
3321 922 520490
3420 4648 607382
4120 112 122962
1623 1149 643301
2983 3173 919830
2320 3942 952485
418 186 763023
1629 2441 912422
3302 4223 334463
643 4488 96655
124 652 761006
807 4099 979715
3763 977 230909
4740 4587 85684
282 1981 322802
232 1603 589259
902 2460 801574
936 1665 421895
4447 2905 989423
4995 2712 819476
1513 2845 666781
871 2940 784177
2934 554 69673
2891 1418 665318
2594 4888 906428
4392 661 177115
1245 198 447184
4955 2718 94746
2521 3826 840359
4172 2929 708752
2009 3449 603165
4278 645 74186
3567 3870 276791
728 584 998023
2 330 430034
3903 2089 97833
1046 3826 430855
3459 1705 359239
1140 2115 144987
2241 101 419066
1310 3098 98151
479 607 804715
711 3834 654788
1201 1441 163750
4354 1250 961251
1252 1433 515085
1933 4100 223518
1840 4119 434863
4454 1538 566007
3768 3490 675272
4269 3376 971195
477 2157 530761
619 4843 471705
1634 4846 374494
2000 1081 691211
63 1439 894416
4123 3527 426154
3790 2340 819393
2792 4437 315098
4370 4328 40860
4715 1196 670787
3810 4869 752374
951 2627 775599
3055 2237 107448
1641 1297 759329
3246 1008 728219
2260 2033 340874
47 2647 79034
3314 3106 631797
3539 2745 520209
3029 2595 265153
169 3523 264948
3463 3975 756818
3026 757 387966
4249 1990 463105
982 1263 602641
3349 4666 247420
2572 4987 873394
1429 2308 469029
63 1771 618819
2047 4421 367313
2257 3514 119986
1857 2962 130941
2477 978 266464
2514 2274 126751
