Decimal    Binary     Hexadecimal   Octal
 110      01101110         6E       156
 111      01101111         6F       157
 112      01110000         70       160
 113      01110001         71       161
 114      01110010         72       162
 115      01110011         73       163
 116      01110100         74       164
 117      01110101         75       165
 118      01110110         76       166
 119      01110111         77       167
 120      01111000         78       170
 121      01111001         79       171
 122      01111010         7A       172
 123      01111011         7B       173
 124      01111100         7C       174
 125      01111101         7D       175
 126      01111110         7E       176
 127      01111111         7F       177
 128      10000000         80       200 
 129      10000001         81       201
 130      10000010         82       202
 131      10000011         83       203
 132      10000100         84       204
 133      10000101         85       205
 134      10000110         86       206
 135      10000111         87       207
 136      10001000         88       210
 137      10001001         89       211
 138      10001010         8A       212
 139      10001011         8B       213
 140      10001100         8C       214
 141      10001101         8D       215
 142      10001110         8E       216
 143      10001111         8F       217
 144      10010000         90       220
 145      10010001         91       221
 146      10010010         92       222
 147      10010011         93       223
 148      10010100         94       224
 149      10010101         95       225
 150      10010110         96       226
 151      10010111         97       227
 152      10011000         98       230
 153      10011001         99       231
 154      10011010         9A       232
 155      10011011         9B       233
 156      10011100         9C       234
 157      10011101         9D       235
 158      10011110         9E       236
 159      10011111         9F       237
 160      10100000         A0       240
 161      10100001         A1       241
 162      10100010         A2       242
 163      10100011         A3       243
 164      10100100         A4       244
 165      10100101         A5       245
 166      10100110         A6       246
 167      10100111         A7       247
 168      10101000         A8       250
 169      10101001         A9       251
 170      10101010         AA       252
 171      10101011         AB       253
 172      10101100         AC       254
 173      10101101         AD       255
 174      10101110         AE       256
 175      10101111         AF       257
 176      10110000         B0       260
 177      10110001         B1       261
 178      10110010         B2       262
 179      10110011         B3       263
 180      10110100         B4       264
 181      10110101         B5       265
 182      10110110         B6       266
 183      10110111         B7       267
 184      10111000         B8       270
 185      10111001         B9       271
 186      10111010         BA       272
 187      10111011         BB       273
 188      10111100         BC       274
 189      10111101         BD       275
 190      10111110         BE       276
 191      10111111         BF       277
 192      11000000         C0       300
 193      11000001         C1       301
 194      11000010         C2       302
 195      11000011         C3       303
 196      11000100         C4       304
 197      11000101         C5       305
 198      11000110         C6       306
 199      11000111         C7       307
 200      11001000         C8       310
 201      11001001         C9       311
 202      11001010         CA       312
 203      11001011         CB       313
 204      11001100         CC       314
 205      11001101         CD       315
 206      11001110         CE       316
 207      11001111         CF       317
 208      11010000         D0       320
 209      11010001         D1       321
 210      11010010         D2       322
 211      11010011         D3       323
 212      11010100         D4       324
 213      11010101         D5       325
 214      11010110         D6       326
 215      11010111         D7       327
 216      11011000         D8       330
 217      11011001         D9       331
 218      11011010         DA       332
 219      11011011         DB       333
 220      11011100         DC       334
 221      11011101         DD       335
 222      11011110         DE       336
 223      11011111         DF       337
 224      11100000         E0       340
 225      11100001         E1       341
 226      11100010         E2       342
 227      11100011         E3       343
 228      11100100         E4       344
 229      11100101         E5       345
 230      11100110         E6       346
 231      11100111         E7       347
 232      11101000         E8       350
 233      11101001         E9       351
 234      11101010         EA       352
 235      11101011         EB       353
 236      11101100         EC       354
 237      11101101         ED       355
 238      11101110         EE       356
 239      11101111         EF       357
 240      11110000         F0       360
 241      11110001         F1       361
 242      11110010         F2       362
 243      11110011         F3       363
 244      11110100         F4       364
 245      11110101         F5       365
 246      11110110         F6       366
 247      11110111         F7       367
 248      11111000         F8       370
 249      11111001         F9       371
 250      11111010         FA       372
 251      11111011         FB       373
 252      11111100         FC       374
 253      11111101         FD       375
 254      11111110         FE       376
 255      11111111         FF       377
 256     100000000        100       400 



Powers of two
-------------------
2^0  =         1
2^1  =         2
2^2  =         4
2^3  =         8
2^4  =        16
2^5  =        32
2^6  =        64
2^7  =       128
2^8  =       256
2^9  =       512
2^10 =     1,024 (K)
2^11 =     2,048
2^12 =     4,096
2^13 =     8,192
2^14 =    16,384
2^15 =    32,768
2^16 =    65,536
2^17 =   131,072
2^18 =   262,144
2^19 =   524,288
2^20 = 1,048,576 (Meg)



Number		  Number		Typical
of		  of 	 		Uses
Bits		  Outcomes
------------------------------------------------------------------------
 1		        2		Basic unit of information
 4		       16		Hexadecimal digit
 7		      128		ASCII character (without parity bit)
 8		      256		Byte; one character with parity bit
 9		      512		Disk Sector Size (?)
10		    1,024		Number of bytes in a kilobyte of storage
12		    4,096		Disk Block Size (?)
16		   65,536		Address size in older computers
20		1,048,576		Number of bytes in a megabyte of storage
32	    4,294,967,296		Number of unique IP addresses in IPv4


